pupil_id,forename,surname,sex,dob,urn,year_group,metadata_json
P001,Alice,Johnson,Female,2012-03-15,100001,Year 7,"{""contact"": {""parent_name"": ""Sarah Johnson"", ""phone"": ""07700900001"", ""email"": ""s.johnson@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 96.2}"
P002,Bob,Smith,Male,2011-07-22,100001,Year 8,"{""contact"": {""parent_name"": ""David Smith"", ""phone"": ""07700900002"", ""email"": ""d.smith@email.com""}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true, ""attendance_pct"": 88.5}"
P003,Carol,Williams,Female,2012-11-01,100002,Year 7,"{""contact"": {""parent_name"": ""Jane Williams"", ""phone"": ""07700900003"", ""email"": ""j.williams@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 97.8}"
P004,Dan,Brown,Male,2010-09-30,100005,Year 9,"{""contact"": {""parent_name"": ""Mike Brown"", ""phone"": ""07700900004""}, ""sen_status"": ""EHCP"", ""fsm_eligible"": true, ""attendance_pct"": 72.1}"
P005,Eve,Taylor,Female,2013-01-18,100004,Year 6,"{""contact"": {""parent_name"": ""Lisa Taylor"", ""phone"": ""07700900005"", ""email"": ""l.taylor@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 99.0}"
P006,Frank,Davies,Male,2011-05-25,100005,Year 8,"{""contact"": {""parent_name"": ""Helen Davies"", ""phone"": ""07700900006""}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": false, ""attendance_pct"": 91.3}"
P007,Grace,Evans,Female,2012-08-12,100006,Year 7,"{""contact"": {""parent_name"": ""Tom Evans"", ""phone"": ""07700900007"", ""email"": ""t.evans@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": true, ""attendance_pct"": 94.6}"
P008,Harry,Wilson,Male,2010-12-03,100007,Year 9,"{""contact"": {""parent_name"": ""Claire Wilson""}, ""sen_status"": ""EHCP"", ""fsm_eligible"": true, ""attendance_pct"": 68.9}"
P009,Isla,Thomas,Female,2013-04-07,100008,Year 6,"{""contact"": {""parent_name"": ""Paul Thomas"", ""phone"": ""07700900009"", ""email"": ""p.thomas@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 95.4}"
P010,Jack,Roberts,Male,2011-10-19,100009,Year 8,"{""contact"": {""parent_name"": ""Karen Roberts"", ""phone"": ""07700900010""}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true, ""attendance_pct"": 85.2}"
P011,Katie,Jones,Female,2012-06-28,100010,Year 7,"{""contact"": {""parent_name"": ""Emma Jones"", ""phone"": ""07700900011""}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 98.1}"
P012,Liam,Garcia,Male,2011-02-15,100012,Year 8,"{""contact"": {""parent_name"": ""Maria Garcia""}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 90.7}"
P013,Mia,Anderson,Female,2013-03-22,100013,Year 6,"{""contact"": {""parent_name"": ""Chris Anderson"", ""phone"": ""07700900013"", ""email"": ""c.anderson@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": true, ""attendance_pct"": 93.5}"
P014,Noah,Martinez,Male,2010-11-14,100014,Year 9,"{""contact"": {""parent_name"": ""Ana Martinez"", ""phone"": ""07700900014""}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": false, ""attendance_pct"": 87.3}"
P015,Olivia,Lee,Female,2012-02-09,100015,Year 7,"{""contact"": {""parent_name"": ""James Lee"", ""phone"": ""07700900015"", ""email"": ""j.lee@email.com""}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 96.9}"
P016,Peter,Clark,Male,2011-08-17,100016,Year 8,"{""contact"": {""parent_name"": ""Susan Clark"", ""phone"": ""07700900016""}, ""sen_status"": ""None"", ""fsm_eligible"": true, ""attendance_pct"": 92.0}"
P017,Quinn,Lewis,Female,2013-07-03,100017,Year 6,"{""contact"": {""parent_name"": ""Robert Lewis"", ""phone"": ""07700900017"", ""email"": ""r.lewis@email.com""}, ""sen_status"": ""EHCP"", ""fsm_eligible"": true, ""attendance_pct"": 78.4}"
P018,Ryan,Walker,Male,2010-04-26,100018,Year 9,"{""contact"": {""parent_name"": ""Michelle Walker""}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 94.1}"
P019,Sophie,Hall,Female,2012-09-11,999999,Year 7,"{""contact"": {""parent_name"": ""Mark Hall"", ""phone"": ""07700900019""}, ""sen_status"": ""None"", ""fsm_eligible"": false, ""attendance_pct"": 95.0}"
P020,Tom,Wright,Male,2011-03-08,100001,Year 8,"{""contact"": {""parent_name"": ""Linda Wright""}, ""sen_status"": ""SEN Support"", ""fsm_eligible"": true, ""attendance_pct"": 82.6}"
